nct_id,country
NCT03438708,United States
NCT03101995,Mexico
NCT03018418,United States
NCT03944434,Italy
NCT03315754,United States
NCT02799706,Belgium
NCT02799706,Denmark
NCT02799706,France
NCT02799706,Germany
NCT02799706,Italy
NCT02799706,Spain
NCT02799706,Switzerland
NCT02799706,United Kingdom
NCT03147287,United States
NCT03744390,France
NCT03150914,United States
NCT02778685,United States
NCT07209878,China
NCT06482086,China
NCT04594798,United States
NCT04598009,United States
NCT03637816,United States
NCT04061980,United States
NCT04257578,United States
NCT00496522,United States
NCT02131584,United States
NCT04890522,China
NCT05144100,India
NCT03900637,South Korea
NCT05187338,China
NCT04159818,Netherlands
NCT03421288,Germany
NCT03421288,Switzerland
NCT04159142,China
NCT04680260,Denmark
NCT03919240,China
NCT04568616,United States
NCT01375114,United States
NCT02689440,United States
NCT00489307,United States
NCT03214562,United States
NCT03922724,United States
NCT04249154,Canada
NCT00092222,United States
NCT01628029,United States
NCT03386617,Hong Kong
NCT02782949,Honduras
NCT02782949,Puerto Rico
NCT00494182,United States
NCT04989725,Canada
NCT03850418,United States
NCT04764942,United States
NCT03950609,United States
NCT03467516,United States
NCT02339922,United States
NCT04871607,United States
NCT00756639,United States
NCT05901974,China
NCT05150652,United States
NCT04680442,Brazil
NCT04680442,Canada
NCT04680442,Russia
NCT04572763,United States
NCT04558684,China
NCT02117297,United States
NCT03392246,United States
NCT02221310,United States
NCT00980395,United States
NCT02167711,Hong Kong
NCT00082017,United States
NCT02905318,Canada
NCT01202409,United States
NCT01941654,Hong Kong
NCT00003485,United States
NCT00167219,United States
NCT04253483,United States
NCT02762266,Japan
NCT02762266,United States
NCT00080535,United States
NCT00003495,United States
NCT03469674,Austria
NCT03469674,Belgium
NCT03469674,Czechia
NCT03469674,France
NCT03469674,Germany
NCT03469674,Ireland
NCT03469674,Netherlands
NCT03469674,Switzerland
NCT05955391,China
NCT03915184,Canada
NCT03915184,United States
NCT06836128,Egypt
NCT06497543,China
NCT05336786,Netherlands
NCT05336786,United States
NCT05827796,China
NCT05722288,United States
NCT05147844,China
NCT06130579,China
NCT05555888,China
NCT06300424,China
NCT03839342,Canada
NCT04745559,United States
NCT00878254,United States
NCT02262325,United States
NCT04668885,United States
NCT06653517,China
NCT02481635,Canada
NCT01837862,United States
NCT02878473,Canada
NCT04513717,Canada
NCT04513717,United States
NCT03488693,Canada
NCT03488693,United States
NCT04821778,China
NCT05255653,Canada
NCT05255653,France
NCT05255653,Netherlands
NCT05255653,United Kingdom
NCT03459820,Canada
NCT04460352,Canada
NCT04460352,Ireland
NCT04460352,Norway
NCT04460352,Sweden
NCT04460352,Taiwan
NCT03075696,Australia
NCT03075696,Belgium
NCT03075696,Canada
NCT03075696,Czechia
NCT03075696,Denmark
NCT03075696,Finland
NCT03075696,France
NCT03075696,Italy
NCT03075696,New Zealand
NCT03075696,Poland
NCT03075696,Spain
NCT03075696,Taiwan
NCT03075696,United States
NCT04246684,Germany
NCT04224493,Australia
NCT04224493,Belgium
NCT04224493,Brazil
NCT04224493,Canada
NCT04224493,China
NCT04224493,France
